2024-01-08 10:07:45 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.10%
2024-01-08 10:07:45 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:07:55 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.21%
2024-01-08 10:07:55 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:07:55 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 3.40%, Memory: 0.97%
2024-01-08 10:07:55 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.32%
2024-01-08 10:07:55 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:07:55 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.10%
2024-01-08 10:07:55 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:06 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.21%
2024-01-08 10:08:06 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:06 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 1.00%, Memory: 0.96%
2024-01-08 10:08:06 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.32%
2024-01-08 10:08:06 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:06 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.10%
2024-01-08 10:08:06 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:16 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.21%
2024-01-08 10:08:16 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:16 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 1.30%, Memory: 0.94%
2024-01-08 10:08:17 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.32%
2024-01-08 10:08:17 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:17 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.10%
2024-01-08 10:08:17 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:27 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.21%
2024-01-08 10:08:27 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
2024-01-08 10:08:27 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 1.00%, Memory: 0.94%
2024-01-08 10:08:27 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.32%
2024-01-08 10:08:27 - firefox.exe executed by UCE\fing.labcom. Action: running. CPU: 0.00%, Memory: 0.17%
